feature,score
total_sales,6683
merchant_coupon_sales_rate,6231
discount_rate,5593
merchant_coupon_used_rate,5092
total_coupon,4949
discount_man,4562
merchant_avg_distance,4161
merchant_avg_discount_rate,4006
this_month_user_receive_all_coupon_count,3953
day_gap_after,3351
coupon_sales,3202
discount_jian,2578
user_avg_cons_of_merchant,2492
user_avg_discount_rate,2476
buy_total,2204
user_merchant_buy_no_coupon,2127
user_merchant_buy_total,1990
day_of_month,1976
this_month_user_receive_same_coupon_count,1847
user_coupon_received,1804
merchant_min_discount_rate,1800
merchant_max_discount_rate,1580
user_coupon_trans_rate,1507
user_avg_time_gap,1450
user_min_discount_rate,1363
user_buy_use_coupon_rate,1323
user_max_time_gap,1291
total_coupon_types,1277
user_merchant_received,1271
this_day_user_receive_all_coupon_count,1269
day_gap_before,1238
user_max_discount_rate,1175
user_merchant_coupon_trans_rate,1152
this_month_user_receive_same_coupon_firstone,919
this_month_user_receive_same_coupon_lastone,918
user_merchant_no_coupon_rate,910
user_avg_coupon_of_merchant,887
user_most_time_gap,886
merchant_max_distance,881
buy_use_coupon,860
user_count_merchants,846
user_min_time_gap,753
user_merchant_use_coupon_rate,713
weekday2,548
weekday4,548
is_weekend,494
weekday7,471
weekday3,417
user_merchant_buy_use_coupon,390
weekday6,370
weekday5,362
merchant_most_distance,344
weekday1,334
user_avg_distance,318
user_min_distance,298
user_max_distance,285
merchant_min_distance,272
user_time_gap,249
is_man_jian,229
user_most_distance,182
this_day_user_receive_same_coupon_count,173
